id,countryCode,title,category,year,cluster
lu-law-of-august-27-2012-a-relating-to-the-,LU,"Law of August 27, 2012 a) relating to the geological storage of carbon dioxide b) modifying the modified law of December 19, 2008 relating to water C) modifying the law of April 20, 2009 relating to environmental responsibility.",Law,2012,4
lu-law-of-september-13-2012-bearing-1-creat,LU,"Law of September 13, 2012 bearing 1. Creation of a climate pact with municipalities 2. Modification of the modified law of May 31, 1999 relating to an environmental protection fund.",Law,2012,11
lu-12454,LU,Legislation collection: geological storage of carbon dioxide,Law,2012,4
lu-law-of-june-19-2015-modifying-the-modifi,LU,"Law of June 19, 2015 modifying the modified law of August 1, 2007 relating to the organization of the natural gas market.",Law,2015,2
lu-legislation-collection-law-of-june-19-20,LU,"Legislation collection: Law of June 19, 2015 modifying the modified law of August 1, 2007 relating to the organization of the natural gas market",Law,2015,2
lu-12220,LU,Law on the electricity market,Law,2015,2
lu-12463,LU,"Law of December 23, 2016 relating to an aid for climate loans",Law,2016,3
lu-law-of-march-29-2016-modifying-the-law-o,LU,"Law of March 29, 2016 modifying the law of September 13, 2012 creating a climate pact with the municipalities.",Law,2016,11
lu-12141,LU,Legislation collection: Climate bank package and sustainable housing,Law,2016,3
lu-10214,LU,Law supporting sustainable development in rural areas,Law,2016,0
lu-law-of-december-15-2017-concerning-the-b,LU,"Law of December 15, 2017 concerning the budget for state revenue and expenditure for the 2018 financial year and amending",Law,2017,7
lu-10223,LU,Agenda 2030 national report (on sustainable development),Policy,2017,1
lu-12352,LU,Integrated National Energy and Climate Plan Luxembourg for the period 2021-2030,Policy,2018,6
lu-11285,LU,Integrated national plan in terms of Luxembourg energy and climate for the period 2021-2030,Policy,2018,6
lu-10307,LU,Luxembourg’S Integrated National Energy And Climate Plan For 2021-2030,Policy,2018,6
lu-12127,LU,Strategy and action plan for adaptation to climate change in Luxembourg 2018-2023,Policy,2018,0
lu-10901,LU,Law of 17 April 2018 on territory planning,Law,2018,1
lu-12346,LU,New bicycle premium: exceptional boost for soft mobility,Policy,2020,11
lu-presentation-of-the-first-clever-living-,LU,"Presentation of the first “Clever Living” part of the package “Green relaunch for Luxembourg - a plus for the climate, skills and citizens”",Policy,2020,11
lu-10329,LU,Sustainability Bond Framework,Policy,2020,8
mt-11793,MT,"Motor Vehicles Registration Tax (Amendment) Act, 2009",Law,2009,7
mt-10208,MT,National Environment Policy,Policy,2012,1
mt-12657,MT,National Strategy for the introduction of electric mobility in Malta and Gozo,Policy,2012,5
mt-11803,MT,National Transport Strategy 2050,Policy,2014,5
mt-12313,MT,Climate Action Act,Law,2015,0
mt-10310,MT,Malta’s 2030 National Energy and Climate Plan,Policy,2019,6
mt-10632,MT,National Climate Change Adaptation Strategy,Policy,2019,0
nl-10544,NL,Energy Investment Tax Deduction Scheme (WEM),Policy,1997,7
nl-11245,NL,Electricity Act 1998,Law,1998,9
nl-11268,NL,Environmental Management Act,Law,2004,5
nl-11761,NL,Heat Act,Law,2009,2
nl-12666,NL,Crisis and Recovery Act,Law,2010,3
nl-10797,NL,Energy Report Transition to sustainable energy,Policy,2011,2
nl-11083,NL,Delta Act on Water Safety and Fresh Water Supply (Delta Act),Law,2012,0
nl-10853,NL,"Climate Agenda: resilient, prosperous and green",Policy,2013,0
nl-10265,NL,Energy agreement for sustainable growth,Policy,2013,9
nl-10980,NL,Energy Agreement,Policy,2014,9
nl-12162,NL,National regulation on subsidies,Policy,2014,2
nl-10687,NL,National Climate Adaptation Strategy,Policy,2016,0
nl-10868,NL,Energy Agenda: Towards a Low-Carbon Energy Supply,Policy,2017,5
nl-10810,NL,National Energy Efficiency Action Plan,Policy,2017,2
nl-11899,NL,Amendment of the Electricity Act 1998 and of The Gas Act (Progress Energy Transition),Law,2018,9
nl-12163,NL,Climate Act,Law,2019,2
nl-10262,NL,Climate Act adopted by the Senate,Law,2019,2
nl-12390,NL,Integral Energy and Climate Plan,Policy,2019,6
nl-12523,NL,Integrated National Energy and Climate Plan,Policy,2019,6
nl-10396,NL,Long term strategy on climate mitigation,Policy,2019,8
nl-12160,NL,Law prohibiting coal in electricity production,Law,2019,9
nl-12161,NL,Urgent Nitrogen Approach Act,Law,2019,5
nl-11939,NL,Cabinet Vision on Hydrogen,Policy,2020,11
nl-11537,NL,Government Strategy on Hydrogen,Policy,2020,11
nl-12518,NL,Laws of environmental Conservation,Law,2020,5
nl-12371,NL,Climate Act,Law,2022,2
pl-11923,PL,Energy Law,Law,1997,2
pl-12728,PL,Act on Biocomponents and Liquid Biofules,Law,2006,1
pl-10950,PL,Energy Policy of Poland until 2030,Policy,2009,1
pl-11859,PL,Poland's energy policy until 2030,Policy,2009,1
pl-regulation-of-the-council-of-ministers-o,PL,Regulation of the Council of Ministers on types of programmes and projects to be implemented under the National Green Investment Scheme (GIS),Law,2009,1
pl-12715,PL,Act on the System to Manage the Emissions of Greenhouse Gases and Other Substances,Law,2009,5
pl-11862,PL,Polish National Strategy for Adaptation to Climate Change (NAS 2020),Policy,2013,0
pl-12604,PL,Strategic adaptation plan for sectors and areas sensitive to climate change until 2020,Policy,2013,0
pl-10549,PL,Strategy for Energy Security and Environment (ESE),Policy,2014,1
pl-11201,PL,Act on renewable energy sources,Law,2015,2
pl-10220,PL,Act on Wind Power Plant Investments,Law,2016,7
pl-12455,PL,Law on power market,Law,2017,2
pl-12641,PL,ENERGY POLICY OF POLAND UNTIL 2040 (draft),Policy,2018,1
pl-11541,PL,Electromobility Development Plan in Poland,Policy,2018,11
pl-10347,PL,Law 317/2018 on electromobility and alternative fuels,Law,2018,5
pl-11276,PL,Act on the Promotion of Electricity from High-Efficiency Cogeneration,Law,2018,2
pl-12211,PL,Act amending the Act on personal income tax and the Corporate Income Tax Act,Law,2019,7
pl-12363,PL,National Plan for Energy and Climate for 2021-2030,Policy,2019,6
pl-12351,PL,Act of 17 December 2020 on the promotion of electricity production in marine wind farms,Law,2020,2
pl-10426,PL,Act on the promotion of electricity production in marine wind farms,Law,2020,2
pl-executive-summary-of-poland-s-national-e,PL,Executive Summary Of Poland’S National Energy And Climate Plan For The Years 2021-2030 (Necp Pl),Policy,2021,6
pl-12407,PL,Government draft act amending the Act on renewable energy sources and some other acts,Law,2021,2
pl-10523,PL,Poland’s recovery and resilience plan,Policy,2021,8
pt-11474,PT,Law No. 93/2001 establishing procedures in order to prevent climatic changes and their effects,Law,2000,8
pt-10287,PT,Decree-Law No. 33-A/2005,Policy,2005,7
pt-resolution-of-council-of-ministers-68-20,PT,"Resolution of Council of Ministers 68/2005, establishes the National System for the Estimation of Emissions by Sources and Removals by Sinks and Air Pollutants (SNIERPA)",Policy,2005,8
pt-11484,PT,Law no. 27/2006 on civil protection,Law,2006,10
pt-10971,PT,Decree-Law 71/2006 on the Portuguese Carbon Fund,Policy,2006,5
pt-12128,PT,Decree-Law No. 225/2007,Policy,2007,7
pt-12099,PT,Decree-Law No. 23/2010,Policy,2010,9
pt-10960,PT,Resolution of the Council of Ministers No. 92/2010 & No. 93/2010,Policy,2010,8
pt-12864,PT,"Decree-Law 39/2010 on electric mobility, last amended by Decree-Law 90/2014",Policy,2010,11
pt-12932,PT,Decree-Law 60/2012 on carbon capture and storage,Policy,2012,4
pt-10943,PT,Decree-Law 56/2012 on the Portuguese Environment Agency (APA I.P),Policy,2012,8
pt-ordinance-65-2014-approving-the-regulati,PT,"Ordinance 65/2014 approving the Regulations for crop insurance and loss compensation, integrated into the Integrated System of Protection against adverse climate events",Policy,2014,0
pt-11473,PT,Law No. 82 D/2014 establishing a set of green fiscal rules,Law,2014,7
pt-10714,PT,Decree of the President of the Republic No. 87/2015,Policy,2015,0
pt-12179,PT,Decree-Law No. 68-A/2015,Policy,2015,9
pt-resolution-of-the-council-of-ministers-n,PT,"Resolution of the Council of Ministers No. 56/2015, of July 30: Approves the strategic framework for climate policy, the National Program for Climate Change and the National Strategy for Adaptation to Climate Change, determines the reduction values ​​of emissions of greenhouse gases for 2020 and 2030 and creates the Interministerial Commission of Air and Climate Change",Policy,2015,8
pt-12131,PT,Law 54/2015 on the exploration and use of geological resources,Law,2015,5
pt-12571,PT,Decree-Law No. 64/2017 of June 12,Policy,2017,9
pt-decree-law-establishes-the-sustainabilit,PT,Decree-Law: Establishes the sustainability criteria for the production and use of biofuels and bioliquids and defines the boundaries of mandatory biofuels for the years 2011 to 2020,Policy,2018,9
pt-11340,PT,Decree-Law no. 4/2018 on incentives to electric mobility,Policy,2018,11
pt-decree-law-no-120-2019-amends-the-specia,PT,Decree-Law No. 120/2019: Amends the special and extraordinary regime for the installation and exploitation of new biomass appreciation centers,Policy,2019,9
pt-12135,PT,Decree-Law No. 85/2019,Policy,2019,1
pt-10301,PT,National Energy And Climate Plan 2021-2030,Policy,2019,6
pt-12522,PT,National Plan Energy and Climate 2021-2030,Policy,2019,6
pt-11672,PT,Decree-law 76/2019 on the legal regime applicable to electricity activities,Policy,2019,4
pt-12155,PT,National Strategy for Adaptation to Climate Change,Policy,2020,8
pt-resolution-of-the-council-of-ministers-n,PT,"Resolution of the Council of Ministers No. 53/2020, of July 10: Approves the National Plan Energy and Climate 2030",Policy,2020,8
pt-12175,PT,Decree-law n 12/2020,Policy,2020,7
pt-11530,PT,National Hydrogen Strategy,Policy,2020,2
pt-decree-law-updates-the-goals-of-incorpor,PT,Decree-Law: Updates the goals of incorporation of biofuels in fuel for consumption in the national territory to 2021,Policy,2021,9
pt-11601,PT,Framework climate law no 98/2021,Law,2021,8
ro-law-on-the-use-of-nuclear-energy-for-exc,RO,Law on the use of nuclear energy for exclusively peaceful purposes 321/2003 that approved the Government Ordinance no. 7/2003,Law,2003,9
ro-10967,RO,"Government Urgency Ordinance on the Environmental Fund, 196/ 2005",Policy,2005,8
ro-10958,RO,Law for energy performance of buildings 372/2005,Law,2007,3
ro-law-no-220-of-october-27-2008-republishe,RO,"Law no. 220 of October 27, 2008 (republished) for establishing the system of promoting energy from renewable energy sources",Law,2008,9
ro-the-law-for-establishing-the-system-of-p,RO,The law for establishing the system of promoting energy production from renewable energy sources,Law,2008,9
ro-decision-no-935-of-21-09-2011-regarding-,RO,Decision no. 935 of 21/09/2011 regarding the promotion of the use of biocurients and biolichids,Policy,2011,4
ro-law-approving-government-emergency-ordin,RO,"Law approving Government Emergency Ordinance no. 18/2009 on increasing the energy efficiency of residential buildings, 158/2011",Law,2011,3
ro-decision-no-918-of-september-5-2012-for-,RO,"Decision no. 918 of September 5, 2012 for amending and completing the Government Decision no. 935/2011 regarding the promotion of the use of biofurant and biolichids",Policy,2012,4
ro-10970,RO,"Law no. 123 of July 10, 2012 of electricity and natural gas",Law,2012,2
ro-decision-no-529-2013-for-the-approval-of,RO,"Decision no. 529/2013 for the approval of the National Strategy of Romania on climate change, 2013-2020",Policy,2013,0
ro-10954,RO,Law on industrial emissions 278/2013,Law,2013,5
ro-government-urgency-ordinance-regarding-t,RO,"Government Urgency Ordinance regarding the tax on polluting emissions from motor vehicles, 9/2013",Law,2013,7
ro-10945,RO,Law for amending and completing Law no. 121/2014 on energy efficiency,Law,2014,4
ro-11866,RO,Law no. 121/2014 on energy efficiency,Law,2014,4
ro-government-decision-on-the-reorganizatio,RO,Government Decision on the reorganization of the National Commission on Climate Change (NCCC) 1026/ 2014,Policy,2014,8
ro-strategy-for-mobilising-investments-in-t,RO,"Strategy for mobilising investments in the renovation of residential and commercial buildings existing at national level, both public and private",Policy,2017,3
ro-10582,RO,law 117/2019 amending law 50/1991 on construction work,Law,2019,9
ro-law-no-155-of-july-24-2020-for-the-modif,RO,"Law no. 155 of July 24, 2020 for the modification and completion of the Law on electricity and natural gas no. 123/2012 and regarding the modification and completion of other normative acts",Law,2020,2
ro-12382,RO,National Plan Integrated in Energy and Climate Change 2021-2030,Policy,2020,6
ro-12319,RO,The 2021-2030 Integrated National Energy and Climate Plan,Policy,2020,6
sk-national-sustainable-development-strateg,SK,"National Sustainable Development Strategy of the Slovak Republic, Resolution of the National Council of the Slovak Republic No. 1989/2001",Policy,2001,1
sk-11348,SK,Act. No. 587/2004 Coll. on Environmental Fund,Law,2005,1
sk-12579,SK,Act No 555/2005 Coll. on Energy efficiency certification of buildings,Law,2006,3
sk-10782,SK,"Act. 609/2007 on Excise tax from electricity, coal and natural gas",Law,2007,7
sk-act-no-476-2008-on-energy-efficiency-and,SK,Act No. 476/2008 on Energy Efficiency and on the amendment of Act 555/2005 on energy efficiency of buildings and on changes and amendments of certain acts,Law,2008,3
sk-energy-security-strategy-of-the-slovak-r,SK,"Energy Security Strategy of the Slovak Republic, Resolution of the Government No. 732/2008 Coll.",Policy,2008,2
sk-renewable-energy-act-act-309-2009-on-pro,SK,Renewable Energy Act (Act 309/2009 on Promotion of Renewable Energy Sources and High-efficiency Cogeneration and on amendments to certain acts),Law,2009,2
sk-establishment-of-sustainability-criteria,SK,"Establishment of sustainability criteria and targets to reduce greenhouse gas emissions from fuels, Decree of Ministry of Environment No. 271/2011 Coll.",Policy,2011,4
sk-creation-of-the-high-level-committee-for,SK,"Creation of the High Level Committee for Co-ordination of Climate Change Policy (Coordination Committee), Resolution of the Slovak Government No. 821/2011",Policy,2011,8
sk-act-no-373-2012-coll-on-emergency-stocks,SK,Act No. 373/2012 Coll. on emergency stocks of oil and oil products and amending the Act on the promotion of renewable energy sources and high efficiency cogeneration,Law,2012,4
sk-10230,SK,Act No. 250/2012 on regulation of network industries as amended,Law,2012,2
sk-10940,SK,Act No. 251/2012 Coll. on Energy and on change of certain acts,Law,2012,4
sk-10956,SK,Act No. 314/2012 Coll. on regular inspection of heating systems and air conditioning systems,Law,2012,2
sk-10186,SK,Act No. 414/2012 Coll. on Emission Trading,Law,2012,4
sk-decree-of-the-ministry-of-environment-no,SK,Decree of the Ministry of Environment No. 231/2013 Coll. on the National Emissions Inventory System and on technical-operational parameters,Policy,2013,5
sk-introduction-of-smart-meters-and-distrib,SK,"Introduction of smart meters and distribution networks, Decree of the Ministry of agriculture No. 358/2013 Coll.",Policy,2013,9
sk-strategy-of-adaptation-of-the-slovak-rep,SK,Strategy of adaptation of the Slovak Republic to the unfavorable consequences of climate change,Policy,2014,0
sk-12529,SK,Integrated National Energy and Climate Plan for 2021 - 2030,Policy,2019,6
sk-10311,SK,Integrated National Energy and Climate Plan for 2021 to 2030,Policy,2019,6
sk-10427,SK,Greener Slovakia - Strategy of the Environmental Policy of the Slovak Republic until 2030,Policy,2019,8
sk-10392,SK,Low-Carbon Development Strategy of the Slovak Republic until 2030 with a View to 2050,Policy,2020,8
si-11042,SI,Energy act,Law,2005,11
si-11310,SI,Environmental Protection Act,Law,2006,4
si-11140,SI,National Forest Program,Policy,2007,5
si-11302,SI,Regulation on Forest Protection,Policy,2009,0
si-11790,SI,Strategy of adaptation of the Slovenian agriculture and forestry sectors to climate change,Policy,2010,0
si-11909,SI,Energy act,Law,2014,11
si-10911,SI,Strategic framework for climate change adaptation,Policy,2016,0
si-12519,SI,Comprehensive National Energy and Climate Plan of the Republic of Slovenia,Policy,2020,6
si-10306,SI,Integrated National Energy And Climate Plan Of The Republic Of Slovenia,Policy,2020,6
es-12197,ES,"Royal Decree 177/1998, of February 16, which creates the National Climate Council.",Policy,1998,5
es-10809,ES,"Law 34/1998, on the hydrocarbons sector",Law,1998,4
es-royal-decree-1188-2001-of-november-2-whi,ES,"Royal Decree 1188/2001, of November 2, which regulates the composition and functions of the National Climate Council.",Policy,2001,5
es-12699,ES,Spanish Forest Plan,Policy,2002,5
es-10219,ES,"Law 1/2005, of March 9, which regulates the regime of the trade of greenhouse gases emission.",Law,2005,8
es-11898,ES,Real Decree 1264/2005,Law,2005,8
es-12874,ES,Real Decree 1315/2005,Law,2005,8
es-12210,ES,"Law 45/2007, of December 13, for the sustainable development of the medium",Policy,2007,0
es-12289,ES,Spanish Climate Change And Clean Energy Strategy Horizon 2007- 2012 -2020,Policy,2007,2
es-11260,ES,Spanish Climate Change Strategy and Clean Energy Horizon 2007-202020,Policy,2007,2
es-12590,ES,"Law 34/2007 on air quality and atmosphere protection, last amended by Law 11/2014",Law,2007,7
es-11844,ES,National Action Program against Desertification,Policy,2008,0
es-12888,ES,Order Arm/2444/2008,Policy,2008,0
es-royal-decree-752-2010-of-june-4-which-ap,ES,"Royal Decree 752/2010, of June 4, which approves the first sustainable rural development program for the 2010-2014 period in application of Law 45/2007, of December 13, for the sustainable development of the rural environment .",Policy,2010,0
es-10803,ES,National Renewable Energy Action Plan PANER 2011-2020,Policy,2010,2
es-10808,ES,"Royal Decree 903/2010, on the Assessment and Management of Flood Risk",Policy,2010,10
es-10197,ES,"Law 2/2011, of March 4, of Sustainable Economics",Law,2011,3
es-12611,ES,Plan for Renewable Energy in Spain PER 2011-2020,Policy,2011,2
es-royal-decree-635-2013-developing-the-pla,ES,"Royal Decree 635/2013, developing the 'Plan to Promote the Environment in the hotel sector PIMA SOL\ for the energy renovation of its installations, and regulating the further acquisition of carbon credits by the Carbon Fund for a sustainable economy",Policy,2013,3
es-royal-decree-law-2-2013-which-implements,ES,"Royal Decree Law 2/2013, which implements urgent measures in the electricity and financial sectors",Policy,2013,9
es-royal-decree-233-2013-on-energy-saving-o,ES,"Royal Decree 233/2013, on energy saving of rental housing, building restoration and urban regeneration and renovation",Policy,2013,3
es-11105,ES,"Royal Decree 238/2013, incorporates the regulation on thermal installations in buildings",Policy,2013,3
es-royal-decree-564-2017-on-the-certificati,ES,Royal Decree 564/2017 on the certification of energy efficiency in buildings (amending Royal Decree 235/2013),Policy,2013,3
es-11144,ES,Law 2/2013 on the protection and sustainable use of coastal areas,Law,2013,0
es-11139,ES,"Law 8/2013 on urban rehabilitation, regeneration and renovation",Law,2013,3
es-11123,ES,Law 24/2013 on the Electric sector,Law,2013,9
es-royal-decree-415-2014-of-june-6-which-re,ES,"Royal Decree 415/2014, of June 6, which regulates the composition and functions of the National Climate Council",Policy,2014,5
es-10778,ES,Vehicle impulse strategy with alternative energy (SEE) in Spain (2014-2020),Policy,2014,5
es-royal-decrees-no-163-2014-and-no-1-007-2,ES,"Royal Decrees No. 163/2014 and No 1.007/2015 on carbon footprint, compensation and carbon dioxide absorption",Policy,2014,4
es-royal-decree-413-2014-regulating-the-pro,ES,"Royal Decree 413/2014, regulating the production of electricity generation from renewable energy, cogeneration and waste",Policy,2014,9
es-royal-decree-525-2014-on-the-subsidizati,ES,"Royal Decree 525/2014, on the subsidization of the Incentives Programme for Efficient Vehicles (PIVE-6)",Policy,2014,4
es-12894,ES,State Official Newsletter,Law,2015,3
es-12723,ES,Royal Decree 900/2015 on Energy Self-Consumption,Policy,2015,2
es-11457,ES,Law No. 17/2015 on the National Civil Protection System,Law,2015,10
es-10418,ES,National Action Framework For Alternative Energy In Transport,Policy,2016,5
es-royal-decree-no-18-2016-flood-risk-manag,ES,"Royal Decree No. 18/2016 - Flood risk management plans of the Guadalquivir, Segura, Júcar hydrographic demarcations and the Spanish part of the Miño-Sil, Duero, Tajo, Guadiana, Ebro, Ceuta and Melilla hydrographic demarcations",Policy,2016,0
es-royal-decree-no-19-2016-flood-risk-manag,ES,Royal Decree No. 19/2016 - Flood risk management plan of the Galicia-Costa Hydrographic Demarcation,Policy,2016,0
es-royal-decree-389-2016-of-22-october-appr,ES,"Royal Decree 389/2016, of 22 October, approving the Master Plan for the Network of Natural Reserves",Policy,2016,8
es-royal-decree-no-425-2016-regulatory-basi,ES,Royal Decree No. 425/2016 - Regulatory basis for the granting of subsidies from the General State Administration to Agrarian Insurance,Policy,2016,11
es-royal-decree-617-2017-of-16-june-regulat,ES,"Royal Decree 617/2017, of 16 June, regulating the direct granting of aid for the acquisition of alternative energy vehicles, and for the implementation of charging points for electric vehicles in 2017 (Plan MOVEA 2017)",Policy,2017,5
es-royal-decree-law-no-10-2017-on-urgent-me,ES,Royal Decree-Law No. 10/2017 on urgent measures to mitigate the effects caused by drought in certain river basins,Law,2017,0
es-royal-decree-no-6-2018-creates-the-inter,ES,Royal Decree No. 6/2018 - Creates the Interministerial Commission for the incorporation of ecological criteria in public procurement,Policy,2018,8
es-10722,ES,Royal Decree-law 15/2018 on urgent measures for energy transition and consumer protection,Policy,2018,7
es-royal-decree-244-2019-regulating-the-adm,ES,"Royal Decree 244/2019 regulating the administrative, technical and economic conditions of the self-consumption of electric energy",Policy,2019,2
es-10270,ES,Royal Decree 658/2019 on environmental subsidies,Policy,2019,8
es-12209,ES,Royal decree-law 17/2019 establishing the new rate of reasonable return for renewable energy,Policy,2019,2
es-12436,ES,Integrated Energy and Climate Plan 2021-2030,Policy,2020,6
es-12517,ES,Integrated National Energy And Climate Plan 2021-2030,Policy,2020,6
es-10400,ES,Long -term decarbonization strategy 2050,Policy,2020,8
es-10343,ES,Long -term strategy for energy rehabilitation in the building sector in Spain,Policy,2020,2
es-12389,ES,National Plan for Climate Change Adaptation,Policy,2020,6
es-royal-decree-960-2020-of-november-3-whic,ES,"Royal Decree 960/2020, of November 3, which regulates the economic regime of renewable energy for electric power production facilities.",Policy,2020,7
es-the-government-approves-the-long-term-de,ES,"The Government approves the long -term decarbonization strategy, which marks the path to achieve climate neutrality at 2050",Policy,2020,8
es-12228,ES,National Climate Change Adaptation Plan 2021-2030,Policy,2020,0
es-10766,ES,Green hydrogen roadmap,Policy,2020,2
es-11090,ES,Plan to promote the value chain of the automotive industry,Policy,2020,5
es-royal-decree-law-23-2020-which-approves-,ES,Royal Decree-Law 23/2020 which approves measures in the field of energy and in other areas for economic recovery,Law,2020,9
es-10407,ES,"Spanish Strategy for Science, Technology and Innovation 2021-2027",Policy,2020,8
es-12260,ES,"Secure, Sustainable and Connected Mobility Strategy 2030",Policy,2020,5
es-12270,ES,Royal Decree 690/2021 regulating the Ecological Restoration and Resilience Fund,Policy,2021,8
es-12262,ES,Law 7/2021 on climate change and energy transition,Law,2021,8
es-12502,ES,State Bicycle Strategy,Policy,2021,5
es-12618,ES,Energy Storage Strategy,Policy,2021,2
se-11141,SE,Act 1990:582 on Carbon Tax and related regulations,Law,1991,1
se-11385,SE,Environmental Code DS2000:61,Law,1999,0
se-12772,SE,An Integrated Climate and Energy Policy,Law,2009,1
se-10814,SE,Planning and Building Act (2010: 900),Law,2010,0
se-11732,SE,Planning and Building Act (2010:900),Law,2010,0
se-regulation-on-state-subsidies-for-solar-,SE,"Regulation on State Subsidies for Solar Panels - Regulation No. 2009:689, updated/ amended by Regulation no. 2011:1473",Policy,2010,11
se-11121,SE,Government Bill (2009/2010: 172) & Government Bill (2009/2010:173) on nuclear power,Law,2011,4
se-12720,SE,Law (2011: 1200) on electricity certificates,Law,2011,9
se-10812,SE,Regulation (2011: 1480) on electricity certificates,Law,2011,9
se-amendment-to-act-concerning-energy-tax-a,SE,Amendment to Act Concerning Energy Tax (a component of the climate and energy package) within the 2013 National Budget Bill,Law,2013,7
se-10248,SE,Climate Act (2017: 720),Law,2017,0
se-10256,SE,National Strategy for Climate Adaptation,Law,2017,0
se-12264,SE,Regulation (2017: 1319) on state aid to measures that contribute to industry climate change,Policy,2017,11
se-11806,SE,The Swedish Climate Policy Framework,Policy,2017,5
se-12438,SE,The Swedish Climate Act,Law,2017,0
se-10675,SE,Sweden's integrated national energy and climate plan,Policy,2020,6
se-12263,SE,Sweden’s Integrated National Energy and Climate Plan,Policy,2020,6
se-10207,SE,Circular economy – Strategy for the transition in Sweden,Policy,2020,8
se-10404,SE,Ordinance (2020: 750) on state aid for certain environmental vehicles,Policy,2020,5
se-10784,SE,Regulatory letter for the financial year 2021 regarding appropriation 1:19 Industrial Life,Policy,2021,11
